ClusterSize, Major1, Major2, Hash, CurriculumSize, Courses
180, HST, CML, 1534115614, 14, [HST1015F$ HST2041F$ HST3039H$ HST4057F$ HST4053F$ HST3005F$ HST2039S$ HST4054F$ CML4507S$ CML2010S$ CML4004H$ CML4006W$ CML4006W$ CML4502S]
165, BUS, ECO, 1588145478, 13, [BUS4050W$ BUS20146CE$ BUS3038R$ BUS4092H$ ECO4028S$ ECO4116F$ ECO3022S$ ECO4100F$ ECO4109F$ ECO4053S$ ECO4111F$ ECO3021S$ ECO4121S]
196, CIV, EEE, 1038920858, 11, [CIV3035S$ CIV2039S$ CIV2020X$ EEE3063F$ EEE3074W$ EEE2031S$ EEE3069W$ EEE4111Z$ EEE2038W$ EEE3083F$ EEE4090F]
279, EEE, CIV, 1579413282, 12, [EEE4006F$ EEE2026S$ EEE3057S$ EEE1007S$ EEE2035F$ EEE1000X$ EEE4090F$ EEE1007S$ EEE4090FEWA$ CIV3048F$ CIV2011F$ CIV4046F]
225, POL, MCB, 153551148, 16, [POL4032F$ POL4005H$ POL3038S$ POL3029F$ POL3043F$ POL1005P$ POL4032F$ POL2038P$ POL3038S$ MCB3024S$ MCB2021F$ MCB4002W$ MCB3025F$ MCB3023S$ MCB3023S$ MCB2021F]
165, CHE, EBE, 1795836053, 8, [CHE2005W$ CHE3062SEWA$ CHE2005W$ CHE4054Z$ CPD1157CE$ CPD1153CE$ CPD1099CE$ CPD1059CE]
234, DOH, PHI, 1612501719, 14, [DOH2001S$ DOH1009F$ DOH1009F$ DOH1000CE$ DOH1002CE$ DOH1020CE$ DOH1002CE$ DOH1009F$ DOH1004CE$ PHI4024S$ PHI2043F$ PHI4022S$ PHI3024S$ PHI4023F]
232, SLL, DRM, 349207363, 10, [SLL3131F$ SLL2055S$ SLL1002SEWA$ DRM4023W$ DRM4024S$ DRM3043W$ DRM1040W$ DRM3045H$ DRM1028S$ DRM2041W]
162, REL, CIV, 467322693, 17, [REL1015F$ REL4048S$ REL4010F$ REL2048S$ REL4046S$ REL2053S$ REL1002F$ REL4011H$ REL1002F$ CIV4042SEWA$ CIV4042F$ CIV1007S$ CIV4045F$ CIV4042F$ CIV4041F$ CIV2040S$ CIV2020X]
63, SLL, MUZ, 326440847, 8, [SLL1076S$ SLL1075F$ SLL1022F$ SLL1095H$ MUZ4268W$ MUZ1381H$ MUZ3320H$ MUZ3355H]
149, PSY, EBE, 1407613948, 14, [PSY3007S$ PSY2011F$ PSY3008F$ PSY3009F$ PSY3007S$ CPD10039CE$ CPD1153CE$ CPD1114CE$ CPD1120CE$ CPD1156CE$ CPD1149CE$ CPD1148CE$ CPD1059CE$ CPD10038CE]
301, AXL, EDN, 1179017650, 14, [AXL4101F$ AXL4206S$ AXL2300F$ AXL2301S$ AXL1100S$ AXL1300F$ AXL3401S$ AXL4205S$ EDN3218W$ EDN3201W$ EDN4183W$ EDN4120W$ EDN3227W$ EDN4173H]
166, MCB, FIN, 918225431, 18, [MCB2023S$ MCB2021F$ MCB3023S$ MCB4003W$ MCB2023S$ MCB2021F$ MCB3024S$ MCB4004W$ MCB4003W$ FIN3011W$ FIN2024W$ FIN2013W$ FIN4050W$ FIN2013S$ FIN3025W$ FIN2029F$ FIN2027F$ FIN3026F]
82, SWK, POL, 1997317075, 17, [SWK2001F$ SWK1004S$ SWK4032S$ SWK4012S$ SWK3070F$ SWK4031S$ SWK4035S$ SWK4030F$ POL4005H$ POL4012F$ POL4049S$ POL3038S$ POL2038F$ POL3044S$ POL2039F$ POL3038S$ POL3029F]
91, GSB, ECO, 2096603166, 16, [GSB1602CE$ GSB1414CE$ GSB1410CE$ GSB4493F$ GSB4602S$ GSB4428F$ GSB4452S$ GSB4451S$ ECO2003P$ ECO4106F$ ECO1007S$ ECO4013S$ ECO4105S$ ECO1400CE$ ECO4115F$ ECO1006F]
175, FTX, SOC, 907810985, 13, [FTX2024M$ FTX4051H$ FTX2024M$ FTX2024M$ FTX3044F$ FTX4010F$ FTX4052H$ SOC4000H$ SOC3031S$ SOC4000H$ SOC4003S$ SOC2015S$ SOC4010F]
296, ELL, CIV, 1731454923, 14, [ELL3005F$ ELL4001H$ ELL1016S$ ELL2016F$ ELL3005F$ ELL4068S$ ELL1016S$ ELL4001H$ CIV3048F$ CIV3044F$ CIV2039S$ CIV2040S$ CIV1005W$ CIV2041S]
102, POL, MUZ, 960548099, 17, [POL4006F$ POL1005P$ POL4033F$ POL2042S$ POL3029F$ POL4007H$ POL1010S$ POL4012F$ POL4032F$ MUZ3245H$ MUZ2351H$ MUZ1324H$ MUZ4364H$ MUZ4252W$ MUZ3397H$ MUZ1320H$ MUZ2269H]
71, CIV, SLL, 509250242, 18, [CIV4045F$ CIV2020X$ CIV4042F$ CIV4046F$ CIV3035S$ CIV3046S$ CIV3045S$ CIV4044S$ CIV2031FEWA$ SLL2073F$ SLL1093H$ SLL3061S$ SLL1101F$ SLL2058F$ SLL4105F$ SLL1048H$ SLL1002L$ SLL1091H]
89, PRY, GEO, 1395180564, 10, [PRY4015F$ PRY4011F$ PRY4008W$ PRY4009F$ GEO2006S$ GEO3001S$ GEO4000W$ GEO4004W$ GEO3001S$ GEO1008F]
253, INF, BIO, 1022429659, 16, [INF4000R$ INF3012SEWA$ INF3012S$ INF20136CE$ INF4024W$ INF4025S$ INF4025S$ INF3032R$ INF1002S$ BIO3015F$ BIO3013F$ BIO3016S$ BIO4005W$ BIO4000W$ BIO4005W$ BIO1000H]
55, EDN, EBE, 2025974082, 9, [EDN2520W$ EDN2023CE$ EDN3239W$ CPD1148CE$ CPD1148CE$ CPD10009CE$ CPD10038CE$ CPD1150CE$ CPD1150CE]
77, MDN, IBS, 1871717490, 10, [MDN4032F$ MDN1000CE$ MDN2002W$ MDN3001H$ IBS4007W$ IBS4008W$ IBS4002W$ IBS4010W$ IBS4007W$ IBS4011W]
87, GSB, FTX, 2098516144, 14, [GSB4405F$ GSB4528F$ GSB4407F$ GSB1410CE$ GSB4452S$ GSB4410S$ FTX4037S$ FTX2024S$ FTX1005Q$ FTX2002CE$ FTX4056S$ FTX4051H$ FTX4052H$ FTX3044F]
197, BIO, MCB, 1615426940, 13, [BIO4005W$ BIO1004F$ BIO1000H$ BIO3015F$ BIO4001W$ BIO1004F$ BIO2012S$ BIO3013F$ MCB2023S$ MCB2021F$ MCB4004W$ MCB3023S$ MCB3012Z]
188, PSY, DRM, 1315468849, 12, [PSY1004F$ PSY2012F$ PSY1006F$ DRM1030S$ DRM4019S$ DRM4004H$ DRM3042W$ DRM1030S$ DRM3010F$ DRM1028S$ DRM4000H$ DRM4040W]
69, GSB, BIO, 574747372, 9, [GSB4428F$ GSB4487F$ GSB4413S$ GSB4507F$ BIO2013F$ BIO4000W$ BIO3013F$ BIO1000F$ BIO2011S]
181, GSB, GEO, 189595249, 11, [GSB4501FEWA$ GSB1414CE$ GSB4462S$ GSB1419CE$ GSB4404FEWA$ GSB4454S$ GSB4401F$ GEO3005F$ GEO2006S$ GEO2006S$ GEO4000W]
272, RAY, CIV, 581073593, 10, [RAY4012W$ RAY2004S$ RAY4006W$ CIV4042SEWA$ CIV2011F$ CIV2031FEWA$ CIV3046S$ CIV4042SEWA$ CIV4044S$ CIV3043F]
60, EGS, MAM, 215364374, 9, [EGS4047S$ EGS4053W$ EGS4055W$ MAM1043H$ MAM4007W$ MAM1021F$ MAM1021F$ MAM1021S$ MAM3085FEWA]
141, AXL, MEC, 382696744, 16, [AXL3402S$ AXL4201F$ AXL3402F$ AXL3401S$ AXL4312F$ AXL3101S$ AXL3301S$ AXL4203F$ MEC2025F$ MEC2025F$ MEC4063C$ MEC4045F$ MEC2042F$ MEC1007F$ MEC2000X$ MEC3073S]
54, EBE, EBE, 1536995023, 15, [CPD1034CE$ CPD10009CE$ CPD1090CE$ CPD1127CE$ CPD1141CE$ CPD1089CE$ CPD1141CE$ CPD1145CE$ CPD1120CE$ CPD10038CE$ CPD10039CE$ CPD10039CE$ CPD1090CE$ CPD10047CE$ CPD1064CE]
277, REL, SOC, 634800096, 7, [REL2048S$ REL4049F$ REL2040F$ SOC3031S$ SOC3007FEWA$ SOC2019S$ SOC1006F]
255, CON, AST, 1717157379, 11, [CON2006W$ CON4045F$ CON4030FEWA$ CON3034F$ CON3040W$ CON4035X$ AST4009W$ AST3002F$ AST1000F$ AST4010W$ AST4011W]
264, HUB, RDL, 1216004529, 12, [HUB4047F$ HUB1020S$ HUB2005F$ RDL4503F$ RDL4605S$ RDL1004H$ RDL1007H$ RDL1006W$ RDL2002H$ RDL2003H$ RDL1004HEWA$ RDL4008H]
278, MEC, CON, 559507930, 14, [MEC4047F$ MEC2043F$ MEC2022S$ MEC4104F$ MEC2042F$ MEC3072F$ MEC4098Z$ MEC4111Z$ CON3023X$ CON1018W$ CON2020S$ CON4043S$ CON3034F$ CON3038W]
215, MUZ, AXL, 1250016177, 13, [MUZ1819H$ MUZ4808W$ MUZ3805H$ MUZ4383F$ AXL1300F$ AXL4312F$ AXL4206S$ AXL3400F$ AXL4300W$ AXL4307F$ AXL3402SEWA$ AXL4100W$ AXL4101F]
165, POL, MUZ, 1904768475, 12, [POL3038S$ POL4005H$ POL4044F$ POL1005S$ MUZ1339H$ MUZ4257W$ MUZ2237H$ MUZ4283W$ MUZ4306W$ MUZ1337H$ MUZ2303H$ MUZ3703H]
183, CON, CIV, 748654574, 12, [CON2013X$ CON3032W$ CON1018W$ CON4030FEWA$ CON3041F$ CON2013X$ CON3039S$ CON4030FEWA$ CON4045F$ CIV3047S$ CIV3042F$ CIV1006S]
195, PHI, AXL, 57375085, 13, [PHI4023F$ PHI4015S$ PHI2041S$ PHI4019W$ PHI2037F$ PHI4023F$ PHI2045S$ PHI2016S$ PHI4024F$ AXL4312F$ AXL1300F$ AXL4312F$ AXL1302S]
156, AXL, PSY, 34896799, 15, [AXL3402SEWA$ AXL3402SEWA$ AXL2301S$ AXL3400F$ AXL4102W$ AXL4200W$ AXL3402S$ AXL2402S$ PSY1004F$ PSY2003S$ PSY2011F$ PSY1006F$ PSY3009F$ PSY3007S$ PSY2010S]
113, LAW, GEO, 1232192925, 8, [PEP1003CE$ PEP10053CE$ PEP10063CE$ PEP10074CE$ PEP10063CE$ GEO2004S$ GEO4004W$ GEO2004S]
114, BUS, CHE, 2038268482, 15, [BUS4017R$ BUS3043S$ BUS4103Q$ BUS2033S$ BUS1601CE$ BUS201206CE$ BUS3008W$ CHE3062SEWA$ CHE4056Z$ CHE3050S$ CHE4058Z$ CHE2006S$ CHE3067S$ CHE3005W$ CHE3040SEWA]
66, DOM, SLL, 1379196802, 12, [DOM1014CE$ DOM1007CE$ DOM1008CE$ SLL1092H$ SLL1102S$ SLL2040F$ SLL1062F$ SLL3080F$ SLL1055S$ SLL2075F$ SLL1094H$ SLL3003W]
72, ACC, POL, 1514747498, 14, [ACC2112W$ ACC1006S$ ACC3023N$ ACC3500W$ ACC3023N$ ACC3503H$ POL2042S$ POL1004F$ POL1009F$ POL2038F$ POL1005P$ POL1004P$ POL2042S$ POL4005H]
127, MEC, PED, 263367163, 14, [MEC2023F$ MEC1003F$ MEC4053Z$ MEC3035F$ MEC1000X$ MEC3073S$ PED4007W$ PED4016W$ PED4030S$ PED4016W$ PED4021F$ PED2001S$ PED2001S$ PED4006F]
137, ECO, PBL, 1181231305, 13, [ECO4111S$ ECO1006F$ ECO2003P$ ECO4115S$ PBL3001H$ PBL2000WEWA$ PBL4601S$ PBL2800F$ PBL4605S$ PBL4801H$ PBL4801H$ PBL4801H$ PBL4801H]
310, GEO, GEO, 719138734, 11, [GEO3005F$ GEO2005X$ GEO3001S$ GEO2001F$ GEO1008F$ GEO2005X$ GEO2004S$ GEO1009F$ GEO1008F$ GEO1008F$ GEO3001S]
315, BUS, CSC, 1024411862, 7, [BUS4030H$ BUS4049W$ BUS4050W$ BUS4078F$ CSC2005Z$ CSC2002S$ CSC1010H]
295, FAM, SOC, 466027316, 15, [FAM3019S$ FAM4006S$ FAM20003CE$ FAM3012S$ FAM4001W$ FAM4011F$ SOC4010F$ SOC1006F$ SOC2035S$ SOC1006F$ SOC3031S$ SOC4028F$ SOC4000H$ SOC2035S$ SOC1005S]
218, GSB, PTY, 1070912244, 11, [GSB4514W$ GSB4451S$ GSB1415CE$ GSB4514W$ GSB4264Z$ GSB4223S$ PTY4003W$ PTY4000W$ PTY4002W$ PTY4000W$ PTY4002W]
181, AHS, HUB, 586377666, 12, [AHS2050H$ AHS1056CE$ AHS4089F$ AHS3075F$ AHS4006H$ AHS1033F$ AHS4158W$ AHS3107W$ HUB4086W$ HUB2017H$ HUB1007S$ HUB4085W]
316, IBS, IBS, 445674778, 14, [IBS4011W$ IBS2001S$ IBS4010W$ IBS4002W$ IBS3020W$ IBS3020W$ IBS4011W$ IBS3020W$ IBS3020W$ IBS4009W$ IBS4006W$ IBS4005W$ IBS4010W$ IBS4008W]
279, EBE, PTY, 1825518604, 12, [CPD10009CE$ CPD1115CE$ CPD1064CE$ CPD1064CE$ PTY4001W$ PTY4000W$ PTY4007W$ PTY2000S$ PTY4005W$ PTY4009W$ PTY4001W$ PTY4005W]
105, FAM, STA, 920973952, 16, [FAM20003CE$ FAM4034S$ FAM3014S$ FAM3012S$ FAM3007F$ FAM2013S$ FAM4036S$ FAM4036S$ FAM4009H$ STA4010W$ STA3043S$ STA2020F$ STA4016H$ STA3022F$ STA4021W$ STA1000F]
192, PED, PED, 1135489567, 9, [PED4006F$ PED4032W$ PED4025W$ PED4042W$ PED4007W$ PED4026W$ PED4006F$ PED4029F$ PED4007W]
310, EDN, PHI, 2091448982, 9, [EDN4174W$ EDN4502W$ EDN2033CE$ EDN2001H$ EDN2043CE$ EDN3213W$ PHI2037F$ PHI4024F$ PHI3024S]
162, ECO, CON, 1024403247, 7, [ECO20141CE$ ECO20142CE$ ECO1010F$ CON2029S$ CON4037S$ CON1012S$ CON2024S]
305, CSC, GEO, 1932037448, 11, [CSC1017F$ CSC1010H$ CSC2002S$ GEO4000W$ GEO3005F$ GEO1008F$ GEO1008F$ GEO4004W$ GEO2005X$ GEO4003W$ GEO1009F]
124, DOM, EDN, 380296233, 8, [DOM1011CE$ DOM1013CE$ DOM1008CE$ EDN2013CE$ EDN3218W$ EDN20021CE$ EDN4500W$ EDN3248W]
106, MEC, PHI, 548358000, 6, [MEC4105F$ MEC1008S$ MEC3023F$ PHI4022S$ PHI4021F$ PHI4019W]
278, INF, MAM, 1647839460, 12, [INF3030Q$ INF4000S$ INF1003F$ INF2010S$ INF3030R$ INF1002S$ INF3031Q$ INF3032R$ INF20136CE$ MAM2083S$ MAM3003S$ MAM2084S]
163, ECO, PTY, 1110055774, 10, [ECO4028S$ ECO4106S$ ECO4120S$ PTY4004W$ PTY4008S$ PTY2000S$ PTY4005W$ PTY4001W$ PTY2000S$ PTY4007W]
84, AXL, STA, 1238586726, 13, [AXL2402S$ AXL3400F$ AXL4200W$ AXL3402S$ STA4010W$ STA3036S$ STA2020F$ STA4021W$ STA1000S$ STA2020S$ STA4020W$ STA4006W$ STA1006S]
64, MEC, FAM, 601382237, 13, [MEC2044S$ MEC4045F$ MEC3072F$ MEC2026S$ MEC4022Z$ MEC2044S$ MEC4045F$ MEC1007F$ FAM4011F$ FAM4032F$ FAM4001W$ FAM3008S$ FAM4008F]
261, APG, POL, 1687021513, 9, [APG2038W$ APG3011S$ APG2000F$ APG2017X$ POL2039F$ POL1004L$ POL2042S$ POL1010S$ POL4012F]
131, DOH, DOH, 531231265, 13, [DOH1005F$ DOH1009F$ DOH1000CE$ DOH1005F$ DOH1004CE$ DOH1005F$ DOH2001S$ DOH1010S$ DOH1002CE$ DOH1000CE$ DOH1002F$ DOH1000CE$ DOH1010S]
187, HSE, AST, 1530307612, 15, [HSE1015F$ HSE1010S$ HSE4004S$ HSE4003S$ HSE1009F$ HSE1001S$ HSE1014S$ HSE1011F$ HSE1006F$ AST2003H$ AST2002H$ AST2002H$ AST4009W$ AST2003H$ AST4008W]
90, BUS, GSB, 107968084, 12, [BUS4091F$ BUS1406CE$ BUS4019R$ BUS4041S$ BUS4016S$ BUS3008W$ BUS4030H$ BUS4049W$ BUS4053H$ GSB4417S$ GSB4460S$ GSB4107Z]
88, ACC, ACC, 1605900131, 13, [ACC1106F$ ACC3004H$ ACC2111S$ ACC3022H$ ACC2112W$ ACC2023F$ ACC20131CE$ ACC4039H$ ACC3501W$ ACC2011S$ ACC3503H$ ACC3022H$ ACC11201CE]
319, AHS, PHI, 1455918939, 15, [AHS3065S$ AHS4128W$ AHS4000W$ AHS3072S$ AHS4000W$ AHS1032S$ PHI2043F$ PHI3023F$ PHI4022S$ PHI4019W$ PHI1025F$ PHI4017S$ PHI3023F$ PHI2041S$ PHI4022S]
156, ECO, GSB, 580710746, 10, [ECO4026S$ ECO4100F$ ECO4032S$ ECO4052S$ ECO4111F$ ECO20142CE$ ECO2004S$ GSB4013S$ GSB4428F$ GSB1420CE]
113, GSB, SLL, 1373826451, 15, [GSB4506F$ GSB4601F$ GSB1401CE$ GSB4103W$ GSB4477S$ GSB4417S$ GSB4524F$ GSB4222F$ GSB20141CE$ SLL3073F$ SLL4000H$ SLL1101F$ SLL3064F$ SLL3057F$ SLL4060F]
214, INF, AGE, 1829185834, 16, [INF3003W$ INF3032R$ INF4025S$ INF20141CE$ INF2004F$ INF1002F$ INF4015W$ AGE2011S$ AGE3013H$ AGE1004S$ AGE4004W$ AGE4000W$ AGE3011F$ AGE3011F$ AGE3011F$ AGE3013H]
132, SEA, SEA, 249568961, 9, [SEA2005S$ SEA2004F$ SEA2005S$ SEA1001CE$ SEA3004F$ SEA3004F$ SEA2004F$ SEA2004F$ SEA4003W]
266, PPH, SEA, 319583258, 9, [PPH4029H$ PPH1001F$ PPH4020S$ PPH1004CE$ SEA4004W$ SEA2004F$ SEA1001CE$ SEA4003W$ SEA1001CE]
116, DOH, AST, 945423663, 15, [DOH1003CE$ DOH1004CE$ DOH1005F$ DOH1002CE$ DOH1002F$ DOH1002F$ DOH1020CE$ DOH1003CE$ AST3002F$ AST4009W$ AST4010W$ AST4007W$ AST2002H$ AST3003S$ AST2002H]
121, PHI, HST, 963152082, 14, [PHI4004H$ PHI2016S$ PHI4017S$ PHI4012S$ PHI1024F$ PHI4021F$ PHI4017S$ HST4010F$ HST2037S$ HST3038F$ HST2039S$ HST2034L$ HST1014S$ HST2040F]
120, ECO, BUS, 2098574674, 6, [ECO4118S$ ECO4115F$ ECO4111F$ BUS3039S$ BUS4027W$ BUS20146CE]
79, ACC, RAY, 1302406453, 11, [ACC4039H$ ACC2112W$ ACC11201CE$ ACC4036W$ ACC1006S$ ACC2011N$ ACC2022N$ ACC3009W$ RAY4012W$ RAY4006W$ RAY4016W]
74, BUS, INF, 2031914974, 12, [BUS4049W$ BUS4016S$ BUS201211CE$ INF4015W$ INF4018W$ INF20132CE$ INF4027W$ INF4024W$ INF3030R$ INF4017H$ INF4024W$ INF1003F]
211, AXL, EDN, 1935854281, 15, [AXL3301S$ AXL4200W$ AXL4313S$ AXL2401F$ AXL3402SEWA$ AXL4206S$ AXL1301S$ EDN2028CE$ EDN20002CE$ EDN4180W$ EDN1000CE$ EDN2038CE$ EDN2038CE$ EDN2023CE$ EDN3003CE]
319, FIN, CIV, 2122033702, 13, [FIN3025W$ FIN4058F$ FIN3024F$ FIN1008W$ FIN2030S$ FIN3013W$ CIV3035S$ CIV2041S$ CIV1006S$ CIV3045S$ CIV2042FEWA$ CIV3048F$ CIV3046S]
92, STA, PPH, 1726884070, 10, [STA1008S$ STA2007H$ STA4022W$ STA1106H$ STA1106H$ STA1006S$ PPH4034S$ PPH4028F$ PPH1005CE$ PPH4056W]
128, CON, MCB, 337128774, 9, [CON2024S$ CON4047W$ CON4041S$ CON4045F$ CON1019F$ MCB3023S$ MCB2022S$ MCB3024S$ MCB3026F]
143, BUS, BUS, 2004097235, 12, [BUS3008W$ BUS4029H$ BUS4092R$ BUS4027W$ BUS201203CE$ BUS4074R$ BUS4035F$ BUS1036S$ BUS20146CE$ BUS201203CE$ BUS20132CE$ BUS201203CE]
270, BUS, PHY, 1540090337, 9, [BUS2035S$ BUS4017R$ BUS4103F$ PHY1013S$ PHY1014S$ PHY3022S$ PHY1032F$ PHY4000W$ PHY1014F]
71, RAY, REL, 1560713454, 14, [RAY4014W$ RAY4006W$ RAY4012W$ RAY4017W$ RAY4012W$ RAY4014W$ REL4049F$ REL1002F$ REL4049F$ REL4049F$ REL2040F$ REL1002F$ REL2053S$ REL2048S]
266, DRM, ELL, 728925320, 10, [DRM1027F$ DRM1028S$ DRM4040S$ ELL4070S$ ELL1009F$ ELL4063H$ ELL3005F$ ELL2014F$ ELL4001H$ ELL2007F]
78, CHE, APG, 2019523241, 7, [CHE4045Z$ CHE3069S$ CHE4054Z$ APG2016W$ APG4007F$ APG3033W$ APG4022F]
93, PTY, CSC, 983054192, 8, [PTY4009W$ PTY4005W$ PTY4001W$ PTY2000S$ PTY4007W$ CSC2002S$ CSC4002W$ CSC4018W]
117, MCB, MAM, 711920970, 13, [MCB3026F$ MCB4002W$ MCB2023S$ MCB3024S$ MCB3025F$ MCB3026F$ MCB3023S$ MAM1014F$ MAM1010S$ MAM4015W$ MAM3085FEWA$ MAM2002S$ MAM1006H]
132, POL, ELL, 1543643591, 14, [POL1004P$ POL4049S$ POL1009F$ POL1009F$ POL2039F$ POL1009F$ ELL4070S$ ELL2010S$ ELL1016S$ ELL1009F$ ELL4001H$ ELL2010S$ ELL1013F$ ELL3009S]
165, MAM, EBE, 629021317, 15, [MAM2084F$ MAM1016S$ MAM1110H$ MAM4001W$ MAM2083F$ MAM4016W$ MAM4016W$ MAM4015W$ MAM1020S$ CPD1115CE$ CPD1099CE$ CPD1099CE$ CPD10047CE$ CPD1147CE$ CPD1099CE]
69, FTX, DRM, 1769132238, 13, [FTX20131CE$ FTX1004S$ FTX2024N$ FTX2024M$ FTX4036F$ FTX1400CE$ FTX20134CE$ DRM4038F$ DRM2041W$ DRM4017F$ DRM4000H$ DRM4035W$ DRM3041W]
187, ACC, GSB, 1588181796, 9, [ACC3022N$ ACC1006F$ ACC20144CE$ ACC2023F$ ACC1006FEWA$ ACC2111N$ GSB1424CE$ GSB4460S$ GSB4414S]
275, ECO, FTX, 1028092051, 11, [ECO4051S$ ECO4051S$ ECO4115F$ ECO20142CE$ ECO4125Z$ FTX2024F$ FTX3045S$ FTX1400CE$ FTX4010F$ FTX4036S$ FTX1004S]
137, BUS, PHI, 706423768, 14, [BUS4103F$ BUS20148CE$ BUS4034S$ BUS201202CE$ BUS4016S$ PHI2037F$ PHI3023F$ PHI4012S$ PHI4019W$ PHI2043F$ PHI4017S$ PHI2037F$ PHI1010S$ PHI4015S]
314, PBL, PSY, 921791607, 14, [PBL4501F$ PBL3801W$ PBL2000WEWA$ PBL2000WEWA$ PBL2800F$ PBL3801WEWA$ PBL4505F$ PBL4602S$ PSY2009F$ PSY3007SEWA$ PSY3008F$ PSY2011F$ PSY3007SEWA$ PSY1004F]
198, FTX, HUB, 494743148, 12, [FTX2024N$ FTX2024M$ FTX2024S$ FTX3045S$ FTX1004S$ FTX1005Q$ FTX4036F$ HUB2022F$ HUB4041W$ HUB2024CE$ HUB4086W$ HUB4061WEWA]
128, CHE, EDN, 357832421, 11, [CHE4036Z$ CHE4036Z$ CHE4049F$ CHE3062SEWA$ CHE4056Z$ EDN2028CE$ EDN3249W$ EDN3232W$ EDN3242W$ EDN4174W$ EDN2036CE]
185, CSC, HSE, 137176368, 8, [CSC4002W$ CSC2003S$ CSC2001F$ CSC1011H$ HSE1003S$ HSE1003S$ HSE1004S$ HSE1002F]
232, DOH, MCB, 442620105, 8, [DOH1009F$ DOH1000CE$ DOH2001S$ DOH2001S$ DOH1009F$ MCB3023S$ MCB3025F$ MCB4003W]
193, BUS, AHS, 1762920274, 11, [BUS3004S$ BUS20131CE$ BUS3095S$ BUS2010F$ BUS4074R$ BUS1003H$ BUS1007S$ AHS4009H$ AHS3102F$ AHS3069W$ AHS2108W]
234, CON, CON, 1201752073, 8, [CON2020S$ CON4048F$ CON1018W$ CON4039S$ CON4033W$ CON2031S$ CON1017S$ CON3038W]
241, ECO, SOC, 628076750, 12, [ECO2004P$ ECO3024F$ ECO2004P$ SOC1007S$ SOC4015F$ SOC1001F$ SOC4028F$ SOC4004S$ SOC4021S$ SOC3029S$ SOC2036F$ SOC4021S]
156, MDN, MDN, 1007032157, 13, [MDN4035F$ MDN4015W$ MDN4035F$ MDN4039CE$ MDN4035F$ MDN4035F$ MDN4033S$ MDN2001S$ MDN1001CE$ MDN1001CE$ MDN3003W$ MDN2002W$ MDN4035F]
280, DOM, IBS, 42947400, 12, [DOM1007CE$ DOM1007CE$ DOM1011CE$ DOM1008CE$ DOM1007CE$ IBS4008W$ IBS4007W$ IBS4005W$ IBS4007W$ IBS2001S$ IBS4005W$ IBS4006W]
218, PPH, CEM, 2035513113, 11, [PPH4051F$ PPH4054S$ PPH1002S$ PPH4040S$ PPH4028F$ CEM1011F$ CEM3005W$ CEM1008F$ CEM1009H$ CEM1011X$ CEM3005WEWA]
82, EEE, PHY, 230559447, 12, [EEE4036A$ EEE2038W$ EEE2035F$ EEE1007S$ EEE3017W$ EEE3057S$ EEE3086F$ EEE1000X$ PHY1013S$ PHY1013F$ PHY3004W$ PHY4007W]
292, SLL, ELL, 1702048196, 7, [SLL3102S$ SLL3074S$ SLL4091S$ ELL4068S$ ELL4001H$ ELL1013F$ ELL3009S]
317, AGE, BIO, 305558868, 10, [AGE4003W$ AGE4000CE$ AGE1004S$ BIO1004S$ BIO2013F$ BIO3013F$ BIO3017S$ BIO4005W$ BIO1000H$ BIO2012S]
296, GSB, RAY, 2002009021, 10, [GSB4602S$ GSB4488S$ GSB4410S$ GSB4601F$ RAY4014W$ RAY4012W$ RAY4015W$ RAY4006W$ RAY4006W$ RAY4017W]
282, BUS, BUS, 578247266, 7, [BUS3043S$ BUS4018Q$ BUS4053H$ BUS20146CE$ BUS4006W$ BUS201205CE$ BUS2033F]
238, ECO, ACC, 419986994, 8, [ECO4007F$ ECO4027S$ ECO4053S$ ECO4114S$ ECO4115S$ ACC3004N$ ACC4038H$ ACC2022F]
287, PHY, AGE, 1558159157, 14, [PHY2004W$ PHY1015F$ PHY4006W$ PHY1004W$ PHY1013F$ PHY3021F$ PHY2004W$ PHY2010S$ AGE4003W$ AGE4003W$ AGE4004W$ AGE4000W$ AGE3012S$ AGE1004S]
61, RAY, IBS, 546464557, 8, [RAY4017W$ RAY4012W$ RAY2004S$ RAY2004S$ RAY4014W$ IBS3020W$ IBS4005W$ IBS4006W]
134, SLL, ELL, 55761056, 17, [SLL1002SEWA$ SLL1082F$ SLL3041S$ SLL1065S$ SLL4063F$ SLL3101F$ SLL1097S$ SLL1061S$ ELL1009F$ ELL1016S$ ELL1016S$ ELL2010S$ ELL3005F$ ELL2015S$ ELL4061F$ ELL2015S$ ELL2016F]
92, SLL, PPH, 1005695437, 10, [SLL4054S$ SLL2062F$ SLL3084F$ SLL4088S$ SLL1060F$ PPH4056W$ PPH4031S$ PPH4057W$ PPH1006CE$ PPH1001F]
199, BUS, SEA, 747447431, 13, [BUS201202CE$ BUS4029H$ BUS4092V$ BUS201201CE$ BUS3008W$ BUS4034S$ BUS201206CE$ BUS2011Q$ BUS1402CE$ SEA2005S$ SEA2004F$ SEA4001W$ SEA1001CE]
213, PHI, PHI, 1004548586, 9, [PHI4023F$ PHI2041S$ PHI4022S$ PHI4004H$ PHI4017S$ PHI4017S$ PHI1010S$ PHI4024S$ PHI4024S]
83, MUZ, EDN, 1213871284, 6, [MUZ3806W$ MUZ2302H$ MUZ2330H$ EDN2005CE$ EDN3226W$ EDN4507F]
